PVT_p	PVT_m(p)
2724.700000	435183430.990647
2734.700000	437576498.933241
2744.700000	439970186.544344
2754.700000	442364443.788722
2764.700000	444757409.543150
2774.700000	447150332.204039
2784.700000	449541834.710426
2794.700000	451933678.972339
2804.700000	454325307.199410
2814.700000	456715332.660417
2824.700000	459105535.866878
2834.700000	461496384.441336
2844.700000	463884422.238528
2854.700000	466272996.911340
2864.700000	468661544.067414
2874.700000	471050015.739229
2884.700000	473436482.182099
2894.700000	475822766.253101
2904.700000	478206393.254057
2914.700000	480589726.879903
2924.700000	482973259.108714
2934.700000	485356409.082040
2944.700000	487737214.439290
2954.700000	490116986.725629
2964.700000	492497319.124059
2974.700000	494876525.986831
2984.700000	497253724.240543
2994.700000	499629689.360821
3004.700000	502005486.144708
3014.700000	504378561.567780
3024.700000	506750813.394114
3034.700000	509122196.616078
3044.700000	511493235.122649
3054.700000	513863891.585542
3064.700000	516231001.671507
3074.700000	518597635.392129
3084.700000	520963177.479115
3094.700000	523325588.673295
3104.700000	525689977.433154
3114.700000	528050561.789820
3124.700000	530410462.774778
3134.700000	532769053.907359
3144.700000	535127478.056199
3154.700000	537481895.356337
3164.700000	539835466.996217
3174.700000	542187557.641145
3184.700000	544538727.523507
3194.700000	546888941.707448
3204.700000	549235508.464614
3214.700000	551583699.892620
3224.700000	553927548.652388
3234.700000	556270898.884110
3244.700000	558612490.374477
3254.700000	560950208.773233
3264.700000	563289397.958667
3274.700000	565624632.765112
3284.700000	567960659.414281
3294.700000	570293274.689027
3304.700000	572624528.205640
3314.700000	574954387.047365
3324.700000	577282183.374026
3334.700000	579606405.172160
3344.700000	581931875.014164
3354.700000	584252417.479080
3364.700000	586572029.348427
3374.700000	588892813.067327
3384.700000	591209195.515441
3394.700000	593523912.461848
3404.700000	595834138.763346
3414.700000	598145424.046465
3424.700000	600455607.684692
3434.700000	602763345.623452
3444.700000	605067104.996244
3454.700000	607371830.249733
3464.700000	609671845.368415
3474.700000	611970608.390753
3484.700000	614266753.962265
3494.700000	616564442.987857
3504.700000	618857280.688371
3514.700000	621148759.832936
3524.700000	623438177.802613
3534.700000	625725505.234777
3544.700000	628007830.740046
3554.700000	630291569.623831
3564.700000	632573135.143000
3574.700000	634852498.546365
3584.700000	637127417.321562
3594.700000	639403676.242808
3604.700000	641676959.495037
3614.700000	643945705.985708
3624.700000	646215736.734212
3634.700000	648480472.700934
3644.700000	650745752.480744
3654.700000	653006377.814075
3664.700000	655268217.242477
3674.700000	657524637.118900
3684.700000	659782236.656660
3694.700000	662034355.259464
3704.700000	664283925.507384
3714.700000	666535342.135360
3724.700000	668780467.435384
3734.700000	671027409.846866
3744.700000	673268722.858589
3754.700000	675511100.427672
3764.700000	677747789.532518
3774.700000	679985510.678645
3784.700000	682218218.725001
3794.700000	684451194.958644
3804.700000	686679104.335361
3814.700000	688907985.967126
3824.700000	691131009.864008
3834.700000	693354974.744489
3844.700000	695573771.078783
3854.700000	697793481.466125
3864.700000	700011039.232249
3874.700000	702225674.325880
3884.700000	704435041.516658
3894.700000	706645266.127468
3904.700000	708853260.791225
3914.700000	711058248.219453
3924.700000	713261726.976588
3934.700000	715462158.884621
3944.700000	717660285.452003
3954.700000	719856089.083255
3964.700000	722049552.296409
3974.700000	724243778.131614
3984.700000	726432513.501868
3994.700000	728618856.662137
4004.700000	730805149.689389
4014.700000	732986660.507704
4024.700000	735168093.569191
4034.700000	737344704.748264
4044.700000	739521994.525028
4054.700000	741696015.774000
4064.700000	743868321.106845
4074.700000	746038110.597734
4084.700000	748204577.138561
4094.700000	750369284.610794
