t	Reservoir_p	bhp	Reservoir_m(p)	Downhole_m(p)	Delta_m(p)
22092.000000	1230.720000	300.000000	937412362.450065	6715497.606019	930696864.844046
22156.000000	1228.310000	300.000000	937412362.450065	6715497.606019	930696864.844046
22220.000000	1225.920000	300.000000	937412362.450065	6715497.606019	930696864.844046
22284.000000	1223.540000	300.000000	937412362.450065	6715497.606019	930696864.844046
22348.000000	1221.170000	300.000000	937412362.450065	6715497.606019	930696864.844046
22412.000000	1218.810000	300.000000	937412362.450065	6715497.606019	930696864.844046
22476.000000	1216.450000	300.000000	937412362.450065	6715497.606019	930696864.844046
22540.000000	1214.110000	300.000000	937412362.450065	6715497.606019	930696864.844046
22604.000000	1211.770000	300.000000	937412362.450065	6715497.606019	930696864.844046
22668.000000	1209.450000	300.000000	937412362.450065	6715497.606019	930696864.844046
22732.000000	1207.130000	300.000000	937412362.450065	6715497.606019	930696864.844046
22796.000000	1204.820000	300.000000	937412362.450065	6715497.606019	930696864.844046
22860.000000	1202.530000	300.000000	937412362.450065	6715497.606019	930696864.844046
22924.000000	1200.240000	300.000000	937412362.450065	6715497.606019	930696864.844046
22988.000000	1197.960000	300.000000	937412362.450065	6715497.606019	930696864.844046
23052.000000	1195.690000	300.000000	937412362.450065	6715497.606019	930696864.844046
23116.000000	1193.420000	300.000000	937412362.450065	6715497.606019	930696864.844046
23180.000000	1191.170000	300.000000	937412362.450065	6715497.606019	930696864.844046
23244.000000	1188.930000	300.000000	937412362.450065	6715497.606019	930696864.844046
23308.000000	1186.690000	300.000000	937412362.450065	6715497.606019	930696864.844046
23372.000000	1184.460000	300.000000	937412362.450065	6715497.606019	930696864.844046
23436.000000	1182.250000	300.000000	937412362.450065	6715497.606019	930696864.844046
23500.000000	1180.040000	300.000000	937412362.450065	6715497.606019	930696864.844046
23564.000000	1177.830000	300.000000	937412362.450065	6715497.606019	930696864.844046
23628.000000	1175.640000	300.000000	937412362.450065	6715497.606019	930696864.844046
23692.000000	1173.460000	300.000000	937412362.450065	6715497.606019	930696864.844046
23756.000000	1171.280000	300.000000	937412362.450065	6715497.606019	930696864.844046
23820.000000	1169.110000	300.000000	937412362.450065	6715497.606019	930696864.844046
23884.000000	1166.950000	300.000000	937412362.450065	6715497.606019	930696864.844046
23948.000000	1164.800000	300.000000	937412362.450065	6715497.606019	930696864.844046
24012.000000	1162.660000	300.000000	937412362.450065	6715497.606019	930696864.844046
24076.000000	1160.520000	300.000000	937412362.450065	6715497.606019	930696864.844046
24140.000000	1158.400000	300.000000	937412362.450065	6715497.606019	930696864.844046
24204.000000	1156.280000	300.000000	937412362.450065	6715497.606019	930696864.844046
24268.000000	1154.170000	300.000000	937412362.450065	6715497.606019	930696864.844046
24332.000000	1152.070000	300.000000	937412362.450065	6715497.606019	930696864.844046
24396.000000	1149.970000	300.000000	937412362.450065	6715497.606019	930696864.844046
24460.000000	1147.890000	300.000000	937412362.450065	6715497.606019	930696864.844046
24524.000000	1145.810000	300.000000	937412362.450065	6715497.606019	930696864.844046
24588.000000	1143.740000	300.000000	937412362.450065	6715497.606019	930696864.844046
24652.000000	1141.670000	300.000000	937412362.450065	6715497.606019	930696864.844046
24716.000000	1139.620000	300.000000	937412362.450065	6715497.606019	930696864.844046
24780.000000	1137.570000	300.000000	937412362.450065	6715497.606019	930696864.844046
24844.000000	1135.530000	300.000000	937412362.450065	6715497.606019	930696864.844046
24908.000000	1133.500000	300.000000	937412362.450065	6715497.606019	930696864.844046
24972.000000	1131.470000	300.000000	937412362.450065	6715497.606019	930696864.844046
25036.000000	1129.450000	300.000000	937412362.450065	6715497.606019	930696864.844046
25100.000000	1127.440000	300.000000	937412362.450065	6715497.606019	930696864.844046
25164.000000	1125.440000	300.000000	937412362.450065	6715497.606019	930696864.844046
25228.000000	1123.450000	300.000000	937412362.450065	6715497.606019	930696864.844046
25292.000000	1121.460000	300.000000	937412362.450065	6715497.606019	930696864.844046
25356.000000	1119.480000	300.000000	937412362.450065	6715497.606019	930696864.844046
25420.000000	1117.500000	300.000000	937412362.450065	6715497.606019	930696864.844046
25484.000000	1115.540000	300.000000	937412362.450065	6715497.606019	930696864.844046
25550.000000	1113.520000	300.000000	937412362.450065	6715497.606019	930696864.844046
25614.000000	1111.570000	300.000000	937412362.450065	6715497.606019	930696864.844046
25678.000000	1109.620000	300.000000	937412362.450065	6715497.606019	930696864.844046
25742.000000	1107.690000	300.000000	937412362.450065	6715497.606019	930696864.844046
25806.000000	1105.760000	300.000000	937412362.450065	6715497.606019	930696864.844046
25870.000000	1103.830000	300.000000	937412362.450065	6715497.606019	930696864.844046
25934.000000	1101.920000	300.000000	937412362.450065	6715497.606019	930696864.844046
25998.000000	1100.010000	300.000000	937412362.450065	6715497.606019	930696864.844046
26062.000000	1098.110000	300.000000	937412362.450065	6715497.606019	930696864.844046
26126.000000	1096.210000	300.000000	937412362.450065	6715497.606019	930696864.844046
26190.000000	1094.320000	300.000000	937412362.450065	6715497.606019	930696864.844046
26254.000000	1092.440000	300.000000	937412362.450065	6715497.606019	930696864.844046
26318.000000	1090.570000	300.000000	937412362.450065	6715497.606019	930696864.844046
26382.000000	1088.700000	300.000000	937412362.450065	6715497.606019	930696864.844046
26446.000000	1086.840000	300.000000	937412362.450065	6715497.606019	930696864.844046
26510.000000	1084.980000	300.000000	937412362.450065	6715497.606019	930696864.844046
26574.000000	1083.130000	300.000000	937412362.450065	6715497.606019	930696864.844046
26638.000000	1081.290000	300.000000	937412362.450065	6715497.606019	930696864.844046
26702.000000	1079.460000	300.000000	937412362.450065	6715497.606019	930696864.844046
26766.000000	1077.630000	300.000000	937412362.450065	6715497.606019	930696864.844046
26830.000000	1075.800000	300.000000	937412362.450065	6715497.606019	930696864.844046
